course_id,title,hybrid_score,course_rating,organization
s12n~kx6DXkl-EeyQ6Qp2PlG9FQ,google advanced data analytics,0.5107,4.7394009216589845,Google
course~F3InFyfJEe2-5Aqhzcov3w,google advanced data analytics capstone,0.4673,4.851437699680512,Google
course~m0fACXB0EeulIxJCZb_vVQ,google data analytics capstone complete case study,0.4524,4.782299250244486,Google
s12n~fq9UWMbTEeqpthJ2RmWGow,google project_management,0.4443,4.842615375198921,Google
s12n~7lHCSlFIEeeffRIHljDI_g,google support,0.443,4.783728692276779,Google
course~R-r2uwp-Eeuf7w5EwYPThw,start ux design_process empathize define ideate,0.4425,4.808545654029014,Google
s12n~agEcxHgeRASq8yHxWPRSWA,google cloud data analytics,0.4241,4.426666666666667,Google Cloud
s12n~Z-5wCcbTEeqeNBKhfgCLyw,google ux design,0.4216,4.815436043653526,Google
course~iLNlSQp9Eeun_RJEc0KNDw,share data art visualization,0.4205,4.604054054054054,Google
course~T6G7p4vcEe--oAr_y6Q6Xw,capstone project applying business_analysis skill,0.4179,4.75,IBM
